No.,Word,Valence_Mean,Valence_SD,Arousal_Mean,Arousal_SD,Frequency
1,不可思議,5.4 ,1.020 ,7.2 ,1.327 ,80
2,不平,3.6 ,0.490 ,5.8 ,0.980 ,65
3,不甘,3.2 ,0.400 ,6.4 ,0.800 ,31
4,不安,3.8 ,0.400 ,5.4 ,0.490 ,184
5,不利,3.6 ,0.490 ,5.6 ,0.800 ,158
6,不足,4.2 ,0.400 ,4.2 ,1.166 ,692
7,不定,4.2 ,0.400 ,3.8 ,0.980 ,66
8,不宜,3.8 ,0.748 ,4.4 ,1.356 ,133
9,不幸,2.6 ,0.490 ,6.0 ,1.549 ,282
10,不拘小節,6.4 ,0.490 ,4.2 ,1.720 ,5
11,不服,3.4 ,0.490 ,6.6 ,0.490 ,42
12,不知所措,3.2 ,0.748 ,6.2 ,1.327 ,31
13,不便,4.0 ,0.000 ,4.4 ,1.497 ,160
14,不耐,4.0 ,0.000 ,4.4 ,1.625 ,21
15,不耐煩,3.6 ,0.800 ,6.0 ,1.095 ,37
16,不准,3.6 ,0.490 ,6.2 ,0.980 ,66
17,不屑,3.0 ,0.632 ,6.0 ,1.265 ,27
18,不悅,3.2 ,1.166 ,6.0 ,1.265 ,19
19,不爽,2.8 ,1.166 ,7.2 ,0.400 ,0
20,不祥,2.8 ,0.400 ,5.2 ,1.166 ,20
21,不符,3.8 ,0.400 ,4.0 ,1.789 ,70
22,不順,3.6 ,0.490 ,4.6 ,1.020 ,0
23,不當,3.4 ,0.800 ,5.6 ,1.200 ,178
24,不解,4.2 ,0.400 ,4.2 ,1.470 ,91
25,不滿,3.2 ,0.748 ,6.4 ,0.800 ,349
26,不適,3.6 ,0.490 ,4.6 ,1.356 ,45
27,正,6.6 ,0.490 ,5.0 ,1.673 ,2573
28,多餘,4.0 ,0.000 ,4.0 ,1.549 ,74
29,好,6.8 ,0.400 ,5.2 ,0.400 ,8304
30,否定,3.4 ,0.490 ,5.4 ,1.356 ,153
31,否認,3.6 ,0.490 ,5.2 ,1.166 ,190
32,足夠,5.8 ,0.400 ,4.0 ,1.265 ,280
33,肯定,6.8 ,0.748 ,6.0 ,0.632 ,669
34,哇,6.0 ,0.894 ,6.6 ,0.490 ,174
35,哎呀,4.8 ,0.400 ,6.8 ,0.400 ,103
36,恰好,6.4 ,0.490 ,5.0 ,0.632 ,56
37,耶,7.2 ,1.166 ,7.2 ,1.166 ,229
38,單獨,4.4 ,0.800 ,3.6 ,1.200 ,87
39,無力,3.2 ,0.748 ,3.6 ,1.960 ,75
40,無足輕重,4.4 ,0.490 ,4.0 ,1.414 ,7
41,無情,2.6 ,1.020 ,5.8 ,2.400 ,79
42,無理,2.6 ,1.020 ,6.8 ,1.166 ,22
43,無暇,3.6 ,1.356 ,5.6 ,1.200 ,20
44,無趣,3.4 ,0.800 ,5.2 ,0.980 ,20
45,無禮,2.8 ,0.980 ,7.0 ,1.095 ,15
46,想,5.2 ,0.400 ,3.6 ,1.497 ,5898
47,過分,2.8 ,0.748 ,6.8 ,0.400 ,49
48,對,6.4 ,0.490 ,4.8 ,1.327 ,13944
49,認真,7.0 ,0.632 ,5.0 ,1.265 ,287
50,嘻,6.6 ,0.800 ,5.8 ,0.980 ,8
51,嘻嘻,7.0 ,1.095 ,6.2 ,0.748 ,25
